# Time M1 M2 x1 y1 z1 x2 y2 z2 chi_1_x chi_1_y chi_1_z chi_2_x chi_2_y chi_2_z vx1 vy1 vz1 vx2 vy2 vz2
2.2518936140931635e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9842294026289546e+00 2.5066646712861629e-01 0.0000000000000000e+00 1.9842294026289546e+00 -2.5066646712861629e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -3.1333308391077036e-02 -2.4802867532861933e-01 0.0000000000000000e+00 3.1333308391077036e-02 2.4802867532861933e-01 0.0000000000000000e+00
2.2544068882160354e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9911239292061595e+00 1.8821662663703331e-01 0.0000000000000000e+00 1.9911239292061595e+00 -1.8821662663703331e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -2.3527078329629164e-02 -2.4889049115076994e-01 0.0000000000000000e+00 2.3527078329629164e-02 2.4889049115076994e-01 0.0000000000000000e+00
2.2569201623389071e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9960534568565427e+00 1.2558103905863532e-01 0.0000000000000000e+00 1.9960534568565427e+00 -1.2558103905863532e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -1.5697629882329416e-02 -2.4950668210706783e-01 0.0000000000000000e+00 1.5697629882329416e-02 2.4950668210706783e-01 0.0000000000000000e+00
2.2594334364617788e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9990131207314628e+00 6.2821518156269088e-02 0.0000000000000000e+00 1.9990131207314628e+00 -6.2821518156269088e-02 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -7.8526897695336360e-03 -2.4987664009143284e-01 0.0000000000000000e+00 7.8526897695336360e-03 2.4987664009143284e-01 0.0000000000000000e+00
2.2619467105846508e+02 5.0000000000000000e-01 5.0000000000000000e-01 -2.0000000000000000e+00 9.3097915960662377e-15 0.0000000000000000e+00 2.0000000000000000e+00 -9.3097915960662377e-15 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -1.1637239495082797e-15 -2.5000000000000000e-01 0.0000000000000000e+00 1.1637239495082797e-15 2.5000000000000000e-01 0.0000000000000000e+00
2.2644599847075227e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9990131207314632e+00 -6.2821518156250478e-02 0.0000000000000000e+00 1.9990131207314632e+00 6.2821518156250478e-02 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 7.8526897695313097e-03 -2.4987664009143290e-01 0.0000000000000000e+00 -7.8526897695313097e-03 2.4987664009143290e-01 0.0000000000000000e+00
2.2669732588303944e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9960534568565438e+00 -1.2558103905861676e-01 0.0000000000000000e+00 1.9960534568565438e+00 1.2558103905861676e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.5697629882327094e-02 -2.4950668210706797e-01 0.0000000000000000e+00 -1.5697629882327094e-02 2.4950668210706797e-01 0.0000000000000000e+00
2.2694865329532661e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9911239292061613e+00 -1.8821662663701477e-01 0.0000000000000000e+00 1.9911239292061613e+00 1.8821662663701477e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 2.3527078329626847e-02 -2.4889049115077017e-01 0.0000000000000000e+00 -2.3527078329626847e-02 2.4889049115077017e-01 0.0000000000000000e+00
2.2719998070761380e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9842294026289571e+00 -2.5066646712859786e-01 0.0000000000000000e+00 1.9842294026289571e+00 2.5066646712859786e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 3.1333308391074732e-02 -2.4802867532861964e-01 0.0000000000000000e+00 -3.1333308391074732e-02 2.4802867532861964e-01 0.0000000000000000e+00
2.2745130811990100e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9753766811902767e+00 -3.1286893008045430e-01 0.0000000000000000e+00 1.9753766811902767e+00 3.1286893008045430e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 3.9108616260056787e-02 -2.4692208514878458e-01 0.0000000000000000e+00 -3.9108616260056787e-02 2.4692208514878458e-01 0.0000000000000000e+00
