# i re im
4.200000000000000000e+01 -2.864885680934541111e-07 -3.678321393777987794e-07
4.300000000000000000e+01 -2.770982688081604118e-07 -3.677389147291184575e-07
4.400000000000000000e+01 -2.756038175377110025e-07 -3.769760293623927493e-07
4.500000000000000000e+01 -2.666437430143921314e-07 -3.795088129697721176e-07
4.600000000000000000e+01 -2.648333671742750777e-07 -3.909573230217270620e-07
4.700000000000000000e+01 -2.561099453059448006e-07 -3.967361274526971000e-07
4.800000000000000000e+01 -2.538578804560550431e-07 -4.112269387575720475e-07
4.900000000000000000e+01 -2.451487706855101499e-07 -4.210492753139978586e-07
5.000000000000000000e+01 -2.422772379479234707e-07 -4.395536344114407903e-07
5.100000000000000000e+01 -2.333076274590674364e-07 -4.546557923025665263e-07
5.200000000000000000e+01 -2.295604531351791008e-07 -4.788806977855802283e-07
5.300000000000000000e+01 -2.199688832694021128e-07 -5.013097489913072944e-07
5.400000000000000000e+01 -2.149721459984216081e-07 -5.339739563404463247e-07
5.500000000000000000e+01 -2.042582144417446330e-07 -5.671659659522382940e-07
5.600000000000000000e+01 -1.974565359020061266e-07 -6.125159204304459489e-07
5.700000000000000000e+01 -1.849038530190096647e-07 -6.618802951959653667e-07
5.800000000000000000e+01 -1.754704179780371270e-07 -7.273218110588795188e-07
5.900000000000000000e+01 -1.600383552301852905e-07 -8.026309700291322749e-07
6.000000000000000000e+01 -1.467517559266227313e-07 -9.010144761400884798e-07
6.100000000000000000e+01 -1.269486704298366114e-07 -1.019821831370870683e-06
6.200000000000000000e+01 -1.081056008662067625e-07 -1.176077745500652488e-06
6.300000000000000000e+01 -8.202839798172268289e-08 -1.374085763218760473e-06
6.400000000000000000e+01 -5.580169098896845772e-08 -1.640153526850519293e-06
6.500000000000000000e+01 -2.225375820088302619e-08 -1.994540238171421027e-06
6.600000000000000000e+01 1.039844170779713851e-08 -2.488033106409812502e-06
6.700000000000000000e+01 4.485039115213190521e-08 -3.182455392926238565e-06
6.800000000000000000e+01 6.358039654599844173e-08 -4.196413279452090029e-06
6.900000000000000000e+01 4.449796948377725543e-08 -5.708314747746640347e-06
7.000000000000000000e+01 -8.431750889394011288e-08 -7.974691668507721625e-06
7.100000000000000000e+01 -4.631869524573166500e-07 -1.122465667115438650e-05
7.200000000000000000e+01 -1.410300183876645429e-06 -1.512291811924736481e-05
7.300000000000000000e+01 -3.070867479006745753e-06 -1.463388986059305588e-05
7.400000000000000000e+01 -3.883909550613648593e-06 6.741086690250872873e-06
7.500000000000000000e+01 3.253582066107267430e-07 6.753209701776951310e-05
7.600000000000000000e+01 1.172627199704621986e-05 1.544605946299154110e-04
7.700000000000000000e+01 2.355197350896021775e-05 2.090146863340762028e-04
7.800000000000000000e+01 2.296933473671186284e-05 1.698716136687101271e-04
7.900000000000000000e+01 2.682643127816270199e-06 2.678344683570761285e-05
8.000000000000000000e+01 -3.154251588946732534e-05 -1.662417592963501018e-04
8.100000000000000000e+01 -6.236216455028642525e-05 -3.183055990142753117e-04
8.200000000000000000e+01 -7.035445668088943197e-05 -3.533243338376421756e-04
8.300000000000000000e+01 -4.709245466133931454e-05 -2.605081092904742469e-04
