case,method,resolution,x1,raw_value,plotted_value,analytic_value
hydro_viscosity,explicit,256,4.04296875,5.3627650757682303e-08,5.3627650757682303e-08,5.3630383993917113e-08
hydro_viscosity,explicit,256,4.08203125,5.269031266411677e-08,5.269031266411677e-08,5.26930408452368e-08
hydro_viscosity,explicit,256,4.12109375,5.1760582632637475e-08,5.1760582632637475e-08,5.176330362477036e-08
hydro_viscosity,explicit,256,4.16015625,5.083863890507858e-08,5.083863890507858e-08,5.0841350581894374e-08
hydro_viscosity,explicit,256,4.19921875,4.992465263831015e-08,4.992465263831015e-08,4.9927352882519e-08
hydro_viscosity,explicit,256,4.23828125,4.901878791539122e-08,4.901878791539122e-08,4.902147462021628e-08
hydro_viscosity,explicit,256,4.27734375,4.8121201762464595e-08,4.8121201762464595e-08,4.812387283308972e-08
hydro_viscosity,explicit,256,4.31640625,4.7232044171273605e-08,4.7232044171273605e-08,4.723469752626528e-08
hydro_viscosity,explicit,256,4.35546875,4.6351458127175436e-08,4.6351458127175436e-08,4.635409169987883e-08
hydro_viscosity,explicit,256,4.39453125,4.5479579642522714e-08,4.5479579642522714e-08,4.548219138243152e-08
hydro_viscosity,explicit,256,4.43359375,4.4616537795280203e-08,4.4616537795280203e-08,4.461912566937989e-08
hydro_viscosity,explicit,256,4.47265625,4.3762454772740075e-08,4.3762454772740075e-08,4.376501676682476e-08
hydro_viscosity,explicit,256,4.51171875,4.2917445920196165e-08,4.2917445920196165e-08,4.291998004015846e-08
hydro_viscosity,explicit,256,4.55078125,4.208161979443345e-08,4.208161979443345e-08,4.2084124067527804e-08
hydro_viscosity,explicit,256,4.58984375,4.125507822188731e-08,4.125507822188731e-08,4.1257550697966345e-08
hydro_viscosity,explicit,256,4.62890625,4.043791636132335e-08,4.043791636132335e-08,4.044035511404755e-08
hydro_viscosity,explicit,256,4.66796875,3.9630222770887004e-08,3.9630222770887004e-08,3.963262589890747e-08
hydro_viscosity,explicit,256,4.70703125,3.883207947936912e-08,3.883207947936912e-08,3.883444510748392e-08
hydro_viscosity,explicit,256,4.74609375,3.804356206153278e-08,3.804356206153278e-08,3.8045888341816605e-08
hydro_viscosity,explicit,256,4.78515625,3.726473971734419e-08,3.726473971734419e-08,3.7267024830251464e-08
hydro_viscosity,explicit,256,4.82421875,3.649567535494678e-08,3.649567535494678e-08,3.649791751039081e-08
hydro_viscosity,explicit,256,4.86328125,3.573642567724162e-08,3.573642567724162e-08,3.57386231156297e-08
hydro_viscosity,explicit,256,4.90234375,3.498704127173294e-08,3.498704127173294e-08,3.4989192265118075e-08
hydro_viscosity,explicit,256,4.94140625,3.4247566704901385e-08,3.4247566704901385e-08,3.4249669556987276e-08
hydro_viscosity,explicit,256,4.98046875,3.351807263547072e-08,3.351807263547072e-08,3.352009366467941e-08
hydro_viscosity,sts,256,-4.98046875,3.345016167259907e-08,3.345016167259907e-08,3.352009366467941e-08
hydro_viscosity,sts,256,-4.94140625,3.420943951486673e-08,3.420943951486673e-08,3.4249669556987276e-08
hydro_viscosity,sts,256,-4.90234375,3.497485742910482e-08,3.497485742910482e-08,3.4989192265118075e-08
hydro_viscosity,sts,256,-4.86328125,3.5754899706592955e-08,3.5754899706592955e-08,3.57386231156297e-08
hydro_viscosity,sts,256,-4.82421875,3.651331637147468e-08,3.651331637147468e-08,3.649791751039081e-08
hydro_viscosity,sts,256,-4.78515625,3.727312624012096e-08,3.727312624012096e-08,3.7267024830251464e-08
hydro_viscosity,sts,256,-4.74609375,3.805024277704874e-08,3.805024277704874e-08,3.8045888341816605e-08
hydro_viscosity,sts,256,-4.70703125,3.884338971645598e-08,3.884338971645598e-08,3.883444510748392e-08
hydro_viscosity,sts,256,-4.66796875,3.96483898494649e-08,3.96483898494649e-08,3.963262589890747e-08
hydro_viscosity,sts,256,-4.62890625,4.0457667104922944e-08,4.0457667104922944e-08,4.044035511404755e-08
hydro_viscosity,sts,256,-4.58984375,4.127150650958545e-08,4.127150650958545e-08,4.1257550697966345e-08
hydro_viscosity,sts,256,-4.55078125,4.209482623166659e-08,4.209482623166659e-08,4.2084124067527804e-08
hydro_viscosity,sts,256,-4.51171875,4.292991925804803e-08,4.292991925804803e-08,4.291998004015846e-08
hydro_viscosity,sts,256,-4.47265625,4.377591825335398e-08,4.377591825335398e-08,4.376501676682476e-08
hydro_viscosity,sts,256,-4.43359375,4.4630917722828206e-08,4.4630917722828206e-08,4.461912566937989e-08
hydro_viscosity,sts,256,-4.39453125,4.549397878608093e-08,4.549397878608093e-08,4.548219138243152e-08
hydro_viscosity,sts,256,-4.35546875,4.6365362361613256e-08,4.6365362361613256e-08,4.635409169987883e-08
hydro_viscosity,sts,256,-4.31640625,4.72455767536587e-08,4.72455767536587e-08,4.723469752626528e-08
hydro_viscosity,sts,256,-4.27734375,4.8134699671620365e-08,4.8134699671620365e-08,4.812387283308972e-08
hydro_viscosity,sts,256,-4.23828125,4.9032390821406e-08,4.9032390821406e-08,4.902147462021628e-08
hydro_viscosity,sts,256,-4.19921875,4.9938259409123346e-08,4.9938259409123346e-08,4.9927352882519e-08
hydro_viscosity,sts,256,-4.16015625,5.085210240406118e-08,5.085210240406118e-08,5.0841350581894374e-08
hydro_viscosity,sts,256,-4.12109375,5.177385633318792e-08,5.177385633318792e-08,5.176330362477036e-08
hydro_viscosity,sts,256,-4.08203125,5.2703441090505865e-08,5.2703441090505865e-08,5.26930408452368e-08
hydro_viscosity,sts,256,-4.04296875,5.3640684993228765e-08,5.3640684993228765e-08,5.3630383993917113e-08
hydro_viscosity,sts,256,-4.00390625,5.4585358882251555e-08,5.4585358882251555e-08,5.457514773269714e-08
hydro_viscosity,sts,256,-3.96484375,5.5537238325927855e-08,5.5537238325927855e-08,5.552713963542143e-08
hydro_viscosity,sts,256,-3.92578125,5.6496126015073155e-08,5.6496126015073155e-08,5.648616019466266e-08
hydro_viscosity,sts,256,-3.88671875,5.746183361010628e-08,5.746183361010628e-08,5.745200283466403e-08
hydro_viscosity,sts,256,-3.84765625,5.8434158211892375e-08,5.8434158211892375e-08,5.842445393054908e-08
hydro_viscosity,sts,256,-3.80859375,5.9412876636367116e-08,5.9412876636367116e-08,5.940329283388758e-08
hydro_viscosity,sts,256,-3.76953125,6.039775410816082e-08,6.039775410816082e-08,6.038829190469967e-08
hydro_viscosity,sts,256,-3.73046875,6.138855292143073e-08,6.138855292143073e-08,6.13792165499748e-08
